Cities,Adilabad,Adoni,Alwal,Anakapalle,Anantapur,Bapatla,Belampalli,Bhimavaram,Bhongir,Bobbili,Bodhan,Chilakalurupet,Chirala,Chittur,Cuddapah,Dharmavaram,Dhone,Eluru,Gaddiannaram,Gadwal,Gajuwaka,Gudivada,Gudur,Guntakal,Guntur,Hindupur,Hyderabad,Jagtial,Kadiri,Kagaznagar,Kakinada,Kallur,Kamareddi,Kapra,Karimnagar,Karnul,Khammam,Kondukur,Koratla,Kottagudem,Kukatpalle,Machilipatnam,Mahbubnagar,Malkajgiri,Mancheral,Mandamarri,Mangalagiri,Markapur,Miryalaguda,Nalgonda,Nandyal,Narasapur,Narasaraopet,Nellur,Nirmal,Nizamabad,Nuzvid,Ongole,Palakollu,Palwancha,Patancheru,Piduguralla,Ponnur,Proddatur,Qutubullapur,Rajamahendri,Rajampet,Rajendranagar,Ramagundam,Rayachoti,Rayadrug,Samalkot,Sangareddi,Sattenapalle,Serilungampalle,Siddipet,Sirsilla,Srikakulam,Srikalahasti,Suriapet,Tadepalle,Tadepallegudem,Tadpatri,Tanuku,Tenali,Tirupati,Tuni,Vijayawada,Vinukonda,Visakhapatnam,Vizianagaram,Vuyyuru,Wanparti,Warangal
Bodhan,132.4209062,343.0050448,146.6896558,551.7101353,441.5520727,411.351626,175.2076377,452.5527656,165.09826,578.7693852,0,373.6907101,408.915747,618.9862857,475.3889291,471.9625146,360.3846597,404.6040091,159.6612472,270.4217471,573.2644663,412.8419287,543.4684501,390.8644724,376.9248509,538.9343018,153.8471694,109.6111363,505.8660184,184.4873981,498.9100593,330.5593027,62.35636103,156.89516,133.8632647,315.1833714,286.8554776,439.3672476,90.25177205,316.3928102,141.692493,441.7560996,213.823972,144.4917485,167.1439245,170.9185713,376.4857756,358.2412003,267.7387863,230.2515859,358.3216,473.8229763,353.5217048,518.0184402,71.16490419,23.28936226,377.8057094,420.4259519,474.3423982,318.5925112,132.2803446,323.5307158,404.8699536,442.9203202,150.3695021,452.379664,516.9560109,161.6554267,166.1137078,521.1032788,453.4193121,488.7619216,116.5006715,350.2732928,139.6104424,118.3650104,102.2554732,636.3054785,578.6294374,249.2468112,376.7957732,436.5451319,417.3074912,456.1726822,398.5359393,582.8597106,515.0210438,376.382419,351.6889005,581.9602076,585.6956085,405.1042482,255.5122522,193.5035257
Chilakalurupet,433.9608233,312.5393652,232.3876719,350.1841767,316.5397527,39.3090304,336.8157991,154.5690618,208.616517,437.744367,373.6907101,0,35.34365408,340.0389637,231.1873829,322.5384008,255.5187073,122.5982164,223.9614072,252.5369593,370.1713101,97.33803878,219.6026553,315.8703394,37.94777795,382.9799265,230.0555396,328.3004143,307.6087211,367.5134933,241.5416123,259.7082783,312.9731718,227.9841844,283.3560761,229.7515599,127.9187458,101.4782361,338.929144,170.2460098,242.1316612,105.1835326,243.2389641,232.2739603,318.2582819,327.5083833,57.04699366,102.733708,106.2791549,143.5520439,192.1844755,168.9748599,20.17010928,183.4364173,386.8452141,360.7698886,105.5429711,67.76835128,176.0487271,175.7875529,256.500673,50.56750329,42.88017762,230.2673868,232.9781119,201.6724295,238.5494213,230.3907334,309.6239534,273.7219363,385.6319927,240.3594963,279.2470865,33.43722663,248.0611732,263.9582938,293.2745028,466.66268,264.9307156,130.2016758,63.19251616,165.7089496,266.6748134,178.5298819,54.61357981,286.3229734,290.0778792,68.55556314,44.17260475,380.1535947,411.2173623,79.57286519,225.2103102,221.2195161
Chirala,468.5972807,329.5050667,266.9939703,349.2671539,322.1528115,15.01501139,369.5988665,148.7389552,243.8214544,441.7538239,408.915747,35.34365408,0,320.9947186,224.0907085,324.4920232,268.668859,127.1428064,258.1327921,276.028318,368.1906048,96.31798223,195.8013625,327.7177199,53.15563196,381.0489975,264.2533179,363.0059311,303.2643013,400.0795783,237.0419269,276.6799298,348.285834,262.0863414,317.9471063,248.2617059,158.2771188,83.54236621,373.9181586,193.7937814,276.4290985,93.00130213,272.1103627,267.0853854,351.3747194,360.4564384,70.4087187,115.1793054,141.6178666,178.7021231,204.0216909,159.3987517,55.47711592,158.553899,422.0315735,396.0960961,117.392349,49.62321773,167.5910715,198.8955051,290.5945078,85.90021304,34.04209356,229.2198598,267.2424628,202.0595704,223.9698189,263.9588305,342.8260835,263.0672076,394.3453648,237.7453748,313.2106396,64.88350381,282.1439995,299.2535431,328.4429263,466.1792142,241.6857674,165.205759,76.03255531,165.7674571,272.4335629,175.2457191,54.84526359,265.8000208,288.4464413,81.3356499,68.28921251,377.9816743,411.7895681,79.56318634,250.6793738,254.8951886
Chittur,721.1095072,332.098402,479.8356306,649.544147,231.6587119,333.5765594,650.9159408,453.2150383,478.8696083,750.0550723,618.9862857,340.0389637,320.9947186,0,143.6061585,200.885221,277.7882988,445.1844172,464.6750559,362.8287506,665.0751993,412.3133861,130.7523614,286.9225291,372.6876192,187.8738035,469.6719177,620.9944858,142.627196,681.9331647,535.4631802,309.8358314,572.9203019,466.3695931,581.7408779,312.3312883,462.1964318,238.9871895,624.2091967,510.1905635,480.679759,396.5973729,409.5998417,484.7190313,630.6704208,640.7914458,391.0438866,279.8589876,409.1146185,427.467737,261.1797446,455.1958393,350.7999677,167.4979738,661.1235933,616.6509403,438.3333198,273.4818293,464.612523,515.7890902,487.5902967,372.6675195,353.7972513,178.1392941,473.126686,511.9070754,107.0482422,459.0688415,621.7883977,99.771989,291.6161068,540.1317899,502.5608342,372.2835795,480.9792156,544.6256591,577.005139,763.5947486,88.42642781,440.6811302,396.8445349,477.3928526,222.3077112,481.2286838,375.0101979,56.60924974,589.8970426,402.2153463,322.457792,673.9586817,713.412678,397.7055236,367.4612761,535.2646426
Cuddapah,579.1601214,208.2514219,337.1520764,572.6626793,133.5846634,238.8469464,514.5509106,371.4630647,338.2214904,665.7862091,475.3889291,231.1873829,224.0907085,143.6061585,0,118.6699693,144.6379794,350.404332,321.8398681,222.7647844,591.0355549,320.3791832,116.9203925,173.308777,268.2988207,160.6333366,326.7026673,480.6309757,80.69508488,545.255469,459.2773048,174.896124,429.9322993,323.3857962,442.8990724,171.9314452,339.8231308,144.0888259,482.8326851,394.5022053,337.522042,314.0700599,266.6389268,342.2844466,494.136211,504.343158,287.6131312,147.9143265,278.0176304,290.9867576,117.8047402,379.4566542,236.0644812,126.030215,518.4239605,473.2537234,336.4374738,174.9912435,388.2978547,400.4784773,344.127424,251.2741635,257.9429602,39.45160213,330.1359877,426.1117111,51.17302832,315.768237,485.3265753,48.2641873,210.2555311,460.9268896,358.9551584,259.1932638,337.612815,403.7769924,436.0209463,689.4927554,125.0208943,309.3735762,293.7702162,389.8443591,99.41082943,398.6465679,277.9707548,114.5861903,511.7664978,299.2273145,201.6663463,600.6854848,635.5601329,303.370752,224.6981279,401.1556577
Dharmavaram,591.5256429,142.294471,353.8966045,672.2411155,33.71748607,339.4936469,549.8074826,473.0453558,366.8036813,759.767973,471.9625146,322.5384008,324.4920232,200.885221,118.6699693,0,112.7205217,445.1297178,338.2987549,201.5573412,691.7935976,418.2123938,231.5488694,92.10306198,360.4410783,70.15852331,341.5424601,503.6871112,58.87788182,578.7467278,561.3212482,141.4088168,439.1378681,338.3065332,473.1508345,160.5537236,408.9532444,252.7443715,501.1031895,469.1531633,349.5828213,417.3239773,259.66937,360.6377341,529.5854035,539.6945065,379.2733534,222.8523628,337.5578113,337.2815281,144.9532431,483.7027728,321.6307123,244.5548079,527.2016313,475.6590979,426.6706427,278.6719641,492.0312245,475.2984909,351.0681655,328.0564365,356.6760132,96.77726147,344.5264439,523.8522447,159.6116772,327.4141318,521.2737357,119.4410293,95.64501946,561.4119443,359.2314814,344.4492496,346.7600874,427.7986716,457.9814781,788.9547371,226.8905996,366.0497121,385.3407864,487.6500306,62.80390827,498.9619324,374.745462,203.4108682,611.7511009,390.5507467,284.2522502,701.6882898,733.6945181,400.5199777,220.3067421,446.4596946
Dhone,478.8241323,68.41389562,241.8314623,601.399748,85.92970663,282.6859942,439.5053176,410.0180389,256.7816864,680.9315929,360.3846597,255.5187073,268.668859,277.7882988,144.6379794,112.7205217,0,374.2808866,226.3340188,90.50199092,622.2271429,352.4607555,253.7435507,60.88133765,291.2376205,182.0193235,229.3500405,391.5717892,147.7013517,467.9166914,496.2068047,32.26237458,326.42197,226.1491115,362.3156129,48.35206367,316.4412019,218.9052989,388.5761576,378.5462688,237.0846528,359.2523857,147.2118466,248.7259463,419.4601209,429.4781935,308.2780877,153.9152311,242.1023689,234.5050655,64.79414939,424.3174826,248.4860011,249.6693135,414.5656996,363.362921,351.5905269,232.8043519,431.5407846,384.6370195,238.3525049,246.109889,295.8766059,105.2065159,232.2634103,453.9171911,195.6202191,215.0032493,411.3262493,178.8274112,134.8413108,494.0833862,246.7412204,269.0907329,234.1073862,316.1906789,345.9211294,716.3302864,269.2023439,267.4643459,313.8766389,418.9559408,58.17165412,433.2192154,310.1317834,258.415666,542.5813902,318.5071541,212.1128499,632.3062224,660.0660231,334.8257304,107.6053796,340.2696553
Eluru,427.4291855,426.7191014,286.6491616,227.962598,438.7682691,113.0703775,311.6797515,48.59144282,253.1993619,315.7875325,404.6040091,122.5982164,127.1428064,445.1844172,350.404332,445.1297178,374.2808866,0,284.4851792,357.2318572,248.323549,33.27886333,316.6289637,435.1009385,84.76289647,504.9756466,289.7059437,328.3708929,428.5657015,338.5884923,123.2258575,374.6827148,342.5906701,288.8746333,284.7803983,343.4294312,117.9165296,210.4830398,344.4394386,105.9495273,299.5371234,59.03860969,333.4168599,283.3164322,297.699049,304.5971796,66.39102889,224.327013,164.8334566,200.4968163,312.5766564,69.69751617,125.9971506,279.0091334,395.6870983,386.3215291,28.48555088,176.7622124,71.74886377,108.0247431,315.039387,131.7121271,93.12109991,352.293074,291.5965313,79.70271761,350.8129501,296.1792641,290.5895895,390.181768,506.5205466,119.9969223,337.5244871,105.3479219,307.3961174,286.2537455,307.2515147,344.1865516,362.3399314,165.6020328,60.56366138,45.0591485,388.9662803,61.87098433,72.51042303,389.1337175,168.4132865,55.78714675,163.1437735,258.3655623,288.6351887,47.79232332,326.4643169,216.722751
Gaddiannaram,258.055368,233.4873672,15.71615354,476.5847171,312.1254166,263.0558804,215.0774962,332.6751616,42.1440203,530.4927218,159.6612472,223.9614072,258.1327921,464.6750559,321.8398681,338.2987549,226.3340188,284.4851792,0,147.227216,498.8633121,283.0753288,383.9848519,271.7949763,235.4172553,408.1382609,6.150152737,165.3939774,362.439015,242.4337436,397.8441807,202.2379062,108.2870696,4.389671908,137.3594221,178.0163313,173.5291783,280.4980855,163.7664581,226.0388627,18.58401586,307.870416,89.74032958,22.40090473,195.5741665,205.3030493,240.0136181,198.5885488,124.2146703,85.4126341,208.043559,353.231052,204.2421564,358.3756874,196.5864509,153.3967773,256.0075401,263.522653,356.1500332,230.7100376,32.57777394,176.4822637,260.4111846,292.5520349,9.422788975,349.5213028,360.4870921,15.84832287,187.946898,368.9932516,344.4520996,390.2966571,55.50392149,206.4437389,24.18181844,90.04785079,119.6829717,579.1619897,419.9081662,119.1578345,242.0165067,324.5568529,278.1183933,343.8476172,258.7637598,425.7087875,427.8429127,243.1739507,195.9640111,508.5984945,523.8372747,271.3607536,120.084439,133.586621
Gadwal,391.4368278,86.87525996,161.7383777,576.5480649,171.6641192,287.5874811,362.1701203,399.6096812,183.8542955,645.8901962,270.4217471,252.5369593,276.028318,362.8287506,222.7647844,201.5573412,90.50199092,357.2318572,147.227216,0,598.3042454,342.3616625,318.5475214,125.5393319,282.025257,269.1554357,148.9227987,309.154039,237.8551299,388.9918668,480.1910635,60.14973158,239.696668,146.018684,284.4506765,50.83409397,274.8191869,252.2985251,304.1598329,336.5090279,154.4606059,356.7621459,59.8878229,169.1932,342.7743701,352.4577085,295.524208,167.7456035,201.6986126,180.9170767,109.8564164,416.986884,239.2206941,305.670114,326.6946944,274.3656074,330.9705,254.0559803,422.761385,342.2654726,153.0072968,225.8480387,295.413588,185.2032549,151.3400095,434.2275406,271.3200835,133.6028413,335.1740273,263.0582414,197.2329171,475.8005573,158.5463021,254.7680509,150.0478158,236.5203678,264.120932,687.5556786,342.2659395,219.2522906,300.129426,402.0683063,148.378934,418.8916125,304.3634197,337.0012079,520.9119318,303.7268985,209.3080906,608.3799933,631.0984733,325.9839178,32.76230094,273.8585992
Gajuwaka,540.0086878,672.4669818,495.6151739,22.28091894,686.7109988,353.2021827,420.7796554,219.6629045,459.4813626,98.23674163,573.2644663,370.1713101,368.1906048,665.0751993,591.0355549,691.7935976,622.2271429,248.323549,498.8633121,598.3042454,0,273.6023284,534.5979458,683.0973893,332.7274407,749.2134632,502.7235269,470.4010675,671.0008549,433.61387,131.8435944,621.1583887,518.6770745,502.9973082,439.4012552,589.5456745,328.4861714,447.1923709,490.340567,272.8769341,509.4474268,276.975506,565.798124,490.0312828,418.2090582,419.3706514,314.6953521,472.5103139,397.452558,425.2887385,560.8880738,212.3850765,374.294777,499.0082088,536.647746,550.8471865,270.784072,416.317379,203.2615506,268.3929731,524.0374339,377.1591461,335.2858385,597.3022682,503.5301735,168.6608507,583.024856,513.3428839,415.5909621,626.4254634,754.8349406,130.4676406,543.7421013,353.1611099,517.985677,464.7635494,471.7801126,98.90270165,577.2428584,385.863395,308.8866905,204.4626519,636.8440759,192.9838616,317.0812691,608.6702486,80.10094497,304.0518188,411.4611352,10.1029748,50.86084563,291.3318227,566.2713573,385.8543018
Gudivada,445.060219,407.7452961,287.0375855,254.0771683,413.4501288,81.73682717,332.4283668,57.83463411,255.5212023,345.4359986,412.8419287,97.33803878,96.31798223,412.3133861,320.3791832,418.2123938,352.4607555,33.27886333,283.0753288,342.3616625,273.6023284,0,283.49122,412.9832343,61.48651763,476.5411279,288.6377734,343.494669,399.2898617,360.4563817,144.2138517,355.1716776,350.4969089,287.4401706,298.9221963,324.5078017,127.6923006,178.9396647,358.4468491,130.3296986,299.2715944,31.56914127,323.6520884,284.5336604,317.2400953,324.7613148,46.94023916,200.0697308,159.714734,197.7416241,289.4591993,74.68399073,104.8545406,245.8870079,409.4172252,395.7760105,41.05893322,145.7814175,80.48862184,133.4397662,314.6965913,117.4227001,62.46031695,324.1496609,290.8533602,106.0351896,318.9506231,293.4655475,309.6816646,359.1138408,482.9682077,143.3584581,337.5643808,87.60155498,306.711372,295.181319,318.6545779,370.8981689,329.1605879,166.8248785,42.89988617,69.6987521,363.5560501,81.23302206,43.47989844,356.1698628,193.5404322,40.45509499,140.3573902,283.5202014,316.0497521,17.79861766,312.7298642,230.7670712
